id,topic,hanzi,frequency_rank
828,HSK4,观众,993
829,HSK4,鼓励,996
830,HSK4,复杂,997
831,HSK4,醒,1000
832,HSK4,经历,1004
833,HSK4,压力,1008
834,HSK4,遍,1029
835,HSK4,数字,1029
836,HSK4,人民币,1033
837,HSK4,输,1040
838,HSK4,效果,1042
839,HSK4,挺,1045
840,HSK4,值得,1047
841,HSK4,篇,1049
842,HSK4,不管,1050
843,HSK4,毕业,1053
844,HSK4,危险,1061
845,HSK4,桥,1065
846,HSK4,污染,1065
847,HSK4,信心,1068
848,HSK4,出发,1069
849,HSK4,刚刚,1085
850,HSK4,暗,1089
851,HSK4,确实,1095
852,HSK4,赢,1111
853,HSK4,挂,1117
854,HSK4,申请,1121
855,HSK4,好像,1131
856,HSK4,逐渐,1132
857,HSK4,主动,1134
858,HSK4,陪,1135
859,HSK4,拒绝,1138
860,HSK4,本来,1141
861,HSK4,广告,1148
862,HSK4,限制,1155
863,HSK4,警察,1158
864,HSK4,刀,1160
865,HSK4,降低,1168
866,HSK4,倍,1182
867,HSK4,批评,1185
868,HSK4,软,1191
869,HSK4,到底,1195
870,HSK4,演出,1196
871,HSK4,圆,1200
872,HSK4,戴,1202
873,HSK4,停止,1206
874,HSK4,硬,1209
875,HSK4,理想,1214
876,HSK4,厚,1215
877,HSK4,例如,1215
878,HSK4,不但,1216
879,HSK4,工资,1218
880,HSK4,墙,1219
881,HSK4,允许,1223
882,HSK4,宽,1231
883,HSK4,感情,1232
884,HSK4,租,1242
885,HSK4,俩,1253
886,HSK4,总结,1265
887,HSK4,骗,1270
888,HSK4,长江,1270
889,HSK4,周围,1295
890,HSK4,样子,1310
891,HSK4,猪,1321
892,HSK4,页,1327
893,HSK4,尊重,1337
894,HSK4,感谢,1339
895,HSK4,友谊,1341
896,HSK4,酸,1345
897,HSK4,丢,1349
898,HSK4,大约,1350
899,HSK4,汤,1353
900,HSK4,动作,1356
901,HSK4,剩,1359
902,HSK4,参观,1374
903,HSK4,从来,1382
904,HSK4,对话,1398
905,HSK4,表达,1404
906,HSK4,忽然,1407
907,HSK4,脏,1408
908,HSK4,看法,1408
909,HSK4,咱们,1413
910,HSK4,不得不,1434
911,HSK4,穷,1455
912,HSK4,寄,1463
913,HSK4,猜,1479
914,HSK4,放弃,1490
915,HSK4,尝,1497
916,HSK4,擦,1503
917,HSK4,撞,1505
918,HSK4,盐,1530
919,HSK4,将来,1532
920,HSK4,估计,1533
921,HSK4,汗,1535
922,HSK4,广播,1546
923,HSK4,只好,1547
924,HSK4,躺,1555
925,HSK4,帅,1562
926,HSK4,年龄,1564
927,HSK4,千万,1565
928,HSK4,博士,1577
929,HSK4,距离,1578
930,HSK4,工具,1584
931,HSK4,抬,1589
932,HSK4,森林,1591
933,HSK4,杂志,1592
934,HSK4,互相,1602
935,HSK4,成熟,1606
936,HSK4,植物,1616
937,HSK4,否则,1628
938,HSK4,朵,1634
939,HSK4,空气,1639
940,HSK4,赚,1641
941,HSK4,失败,1653
942,HSK4,幸福,1659
943,HSK4,究竟,1661
