term,pinyin,cleaned_pinyin
起首,qǐshǒu,qǐshǒu
任课,rènkè,rènkè
枪伤,qiāngshāng,qiāngshāng
愁云,chóuyún,chóuyún
音律,yīnlǜ,yīnlǜ
雨前,yǔqián,yǔqián
憋气,biēqì,biēqì
枯瘦,kūshòu,kūshòu
试航,shìháng,shìháng
温良,wēnliáng,wēnliáng
妖娆,yāoráo,yāoráo
毛遂自荐,máosuì-zìjiàn,máosuì zìjiàn
密匝匝,mìzāzā,mìzāzā
独木舟,dúmùzhōu,dúmùzhōu
无所不知,wúsuǒbùzhī,wúsuǒbùzhī
拖泥带水,tuōní-dàishuǐ,tuōní dàishuǐ
核军备,héjūnbèi,héjūnbèi
无以复加,wúyǐfùjiā,wúyǐfùjiā
古铜色,gǔtóngsè,gǔtóngsè
中西合璧,zhōngxī-hébì,zhōngxī hébì
空城计,kōngchéngjì,kōngchéngjì
洪水猛兽,hóngshuǐ-měngshòu,hóngshuǐ měngshòu
东拉西扯,dōnglā-xīchě,dōnglā xīchě
酸溜溜,suānliūliū,suānliūliū
半月刊,bànyuèkān,bànyuèkān
信不过,xìnbuguò,xìnbuguò
洁身自好,jiéshēn-zìhào,jiéshēn zìhào
律例,lǜlì,lǜlì
神龛,shénkān,shénkān
马枪,mǎqiāng,mǎqiāng
瞎眼,xiāyǎn,xiāyǎn
磨盘,mòpán,mòpán
培土,péitǔ,péitǔ
胡话,húhuà,húhuà
抢种,qiǎngzhòng,qiǎngzhòng
扭捏,niǔnie,niǔnie
骇然,hàirán,hàirán
闹哄,nàohong,nàohong
汤锅,tāngguō,tāngguō
礼让,lǐràng,lǐràng
捶打,chuídǎ,chuídǎ
怒容,nùróng,nùróng
硬碰硬,yìngpèngyìng,yìngpèngyìng
北极圈,běijíquān,běijíquān
丑小鸭,chǒuxiǎoyā,chǒuxiǎoyā
银饰,yínshì,yínshì
暂住证,zànzhùzhèng,zànzhùzhèng
内忧外患,nèiyōu-wàihuàn,nèiyōu wàihuàn
因材施教,yīncái-shījiào,yīncái shījiào
心力衰竭,xīnlì shuāijié,xīnlì shuāijié
势不两立,shìbùliǎnglì,shìbùliǎnglì
泾渭分明,jīngwèi-fēnmíng,jīngwèi fēnmíng
有生力量,yǒushēng lìliàng,yǒushēng lìliàng
赶考,gǎnkǎo,gǎnkǎo
