definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
12974,3987,,,2,名词,痞块
12975,3988,,,1,动词,纠正；改正
12976,3988,,,2,动词,〈文〉救助；辅助
12977,3988,,,3,动词,〈口〉大概估算
12978,3989,,,1,动词,中途停止；停止
12979,3990,,,1,副词,〈口〉“不用”的合音，表示用不着，不必
12980,3991,,,1,动词,畏惧；感到可怕
12981,3991,,,2,动词,〈文〉警惕
12982,3992,,,1,动词,烹调方法，把菜放在锅里炒后加水烧煮勾芡
12983,3992,,,2,动词,烹调方法，把主食和菜或把多种菜混在一起煮
12984,3993,,,1,动词,用手掌打；打耳光
12985,3994,,,1,动词,抿着嘴唇喝一点儿
12986,3994,,,2,动词,（嘴、翅膀等）略微闭上
12987,3994,,,3,动词,用小刷子蘸水或油抹（头发等）
12988,3995,,,1,动词,蛀蚀；侵害
12989,3995,,,2,名词,蠹虫
12990,3996,,,1,名词,金属元素，符号：Sb。银灰色，质硬而脆，有冷胀性，有毒。多用在化学工业和医药上，超纯锑是重要的半导体及红外探测器材料，锑的合金可制造铅字、轴承等
12991,3997,,,1,动词,身体的某部位跟凸起的或硬的东西接触而感到不适或受到损伤
12992,3998,,,1,名词,山上的巨石
12993,3999,,,1,动词,用烙铁、熨斗等烧热的金属器具烫平（衣物）
12994,4000,熨帖,yùtiē,1,形容词,恰当；妥帖
12995,4000,熨帖,yùtiē,2,形容词,心情平静舒畅
12996,4001,,,1,名词,安在船尾或船边用来摇船前进的工具，比桨长（cháng）大
12997,4001,,,2,名词,古代作战时用来防身的大盾牌
12998,4002,,,1,名词,一种敞口器皿，像盆而较小较深，多为陶制
12999,4002,,,2,名词,梵语音译词“钵多罗（Pātra）”的简称。僧人盛饭的器具，圆而稍扁，底平，口略小
13000,4003,,,1,名词,疥疮
13001,4004,,,1,名词,皮肤上起的水泡状的小疙瘩
13002,4005,,,1,名词,金属元素，符号W。银白色，质硬而脆，熔点高，常温下化学性质稳定。主要用于制造高速切削合金钢、灯丝、火箭喷嘴、太阳能装置等
13003,4006,,,1,名词,古代套在犯人颈项上的刑具
