rank,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4043,牍,dú,,,名,古代写字用的木片,连篇累 牍
4043,牍,dú,,,名,书信；公文,尺 牍
4043,牍,dú,,,名,书信；公文,案 牍
4043,牍,dú,,,名,书信；公文,文 牍
4044,糜,mí,,,名,〈文〉稠粥；像粥的食品,肉 糜
4044,糜,mí,,,名,〈文〉稠粥；像粥的食品,乳 糜
4044,糜,mí,,,动,腐烂,糜 烂
4044,糜,mí,,,,○ 靡（mí） 现在一般写作“靡”,
4044,糜,mí,,,名,○ 姓,
4045,龛,kān,,,名,供奉神像、佛像的小阁子或石室,佛 龛
4045,龛,kān,,,名,供奉神像、佛像的小阁子或石室,神 龛
4045,龛,kān,,,名,供奉神像、佛像的小阁子或石室,壁 龛
4046,蜇,zhé,,,名,指海蜇,蜇 皮
4046,蜇,zhé,,,名,指海蜇,蜇 头
4046,蜇,zhē,,,动,蜂、蝎子等用毒刺刺人或动物,马蜂 蜇 人
4046,蜇,zhē,,,动,蜂、蝎子等用毒刺刺人或动物,被蝎子 蜇 了
4046,蜇,zhē,,,动,某些物质刺激皮肤或黏膜，使感觉不适或微痛,盐水把伤口 蜇 得生疼
4046,蜇,zhē,,,动,某些物质刺激皮肤或黏膜，使感觉不适或微痛,洗头时当心 蜇 眼睛 。
4047,晟,shèng,,,形,〈文〉 光明,
4048,淬,cuì,,,动,淬火,淬 砺
4049,阈,yù,,,名,〈文〉 门槛 门 阈 | 足不逾 阈 界限；范围 界 阈 | 痛 阈,
4050,霾,mái,,,名,空气中由于悬浮大量烟、尘等微粒而形成的混浊现象。通称阴霾,
4051,孺,rú,,,名,幼儿；小孩,妇 孺 皆知
4051,孺,rú,,,名,幼儿；小孩,孺 子可教
4052,嬉,xī,,,动,玩耍,嬉 笑
4052,嬉,xī,,,动,玩耍,嬉 戏
4053,璐,lù,,,名,〈文〉 美玉,
4054,噤,jìn,,,动,〈文〉闭上嘴不出声,噤 口不言
4054,噤,jìn,,,动,〈文〉闭上嘴不出声,噤 声
4054,噤,jìn,,,动,〈文〉因寒冷而闭口,蝉 噤 觉秋深
4054,噤,jìn,,,名,因寒冷而引起的身体颤抖,寒 噤
4054,噤,jìn,,,名,因寒冷而引起的身体颤抖,冷 噤
4055,祁,qí,,,,用于地名。如：祁县，在山西；祁阳，在湖南；祁门，在安徽,
4055,祁,qí,,,名,○ 姓,
4057,枰,píng,,,名,〈文〉 棋局；棋盘,对 枰
4057,枰,píng,,,名,〈文〉 棋局；棋盘,棋 枰
4058,靛,diàn,,,名,靛蓝,
4058,靛,diàn,,,形,深蓝,靛 青
4058,靛,diàn,,,形,深蓝,蓝 靛 颏 儿
4059,寰,huán,,,名,广大的区域,寰 球
4059,寰,huán,,,名,广大的区域,寰 宇
4059,寰,huán,,,名,广大的区域,人 寰
4060,垠,yín,,,名,边际；边界,一望无 垠
4060,垠,yín,,,名,边际；边界,无边无 垠
4061,厩,jiù,,,名,马棚；泛指牲口棚,马 厩
4061,厩,jiù,,,名,马棚；泛指牲口棚,厩 肥
4062,滕,téng,,,名,周朝诸侯国名，在今山东滕州一带,
4062,滕,téng,,,名,○ 姓,
4063,铤,dìng,,,名,〈文〉未经冶炼的铜铁矿石,
4063,铤,tǐng,,,形,〈文〉 形容快跑的样子,铤 而走险
4065,殡,bìn,,,动,停放灵柩；把灵柩运到墓地或火化地点,殡 仪馆
4065,殡,bìn,,,动,停放灵柩；把灵柩运到墓地或火化地点,出 殡
4067,樾,yuè,,,名,〈文〉 树阴,和风入 樾
4068,胄,zhòu,,,名,古代作战时戴的保护头部的帽子，多用厚皮革或金属制成,甲 胄
4069,凋,diāo,,,动,（草木花叶）枯萎脱落,凋 零
4069,凋,diāo,,,动,（草木花叶）枯萎脱落,凋 谢
4069,凋,diāo,,,动,（草木花叶）枯萎脱落,凋 落
4069,凋,diāo,,,形,（事业）衰败；（生活）困苦,凋 敝
4070,酊,dīng,,,名,拉丁语 tinctura 音译 指酊剂,碘 酊
4070,酊,dīng,,,名,拉丁语 tinctura 音译 指酊剂,颠茄 酊
4072,鹜,wù,,,名,〈文〉 鸭子,趋之若 鹜
4074,泓,hóng,,,形,〈文〉 水又深又广 用于清水，相当于“道” “片” 一 泓 春水,
4076,锉,cuò,,,名,钢制的手工打磨工具，用来对金属、竹木或皮革等的表面进行加工,
4076,锉,cuò,,,动,用锉打磨,木板 锉 得不平
4076,锉,cuò,,,动,用锉打磨,锉 掉钢管口上的毛刺 。
4077,瘢,bān,,,名,创（chuāng）伤、疮疖痊愈后留下的痕迹,疮 瘢
4077,瘢,bān,,,名,创（chuāng）伤、疮疖痊愈后留下的痕迹,瘢 痕
4078,癖,pǐ,,,名,积久成习的嗜好,好洁成 癖
4078,癖,pǐ,,,名,积久成习的嗜好,癖 好
4078,癖,pǐ,,,名,积久成习的嗜好,怪 癖
4079,迸,bèng,,,动,向四外溅射或爆开,电焊时火星 儿 四处乱 迸
