definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img
6815311,681531,1,(～儿,tángxīnr,
6815711,681571,1,同same as‘原原本本’,yuányuánběnběn,
6816611,681661,1,〈方dial.〉(～儿,liū∥hàor,
6817511,681751,1,(～儿,liūménr,
6817711,681771,1,同same as‘冥茫’,míngmáng,
6819012,681901,2,同same as‘融化’,rónghuà,
6820211,682021,1,〈书fml.〉同same as‘混浊’,hùnzhuó,
6822211,682221,1,〈方dial.〉(～儿,zī∥yár,
6822711,682271,1,〈方dial.〉(～的,huá·bujīliū·de,
6823711,682371,1,(～儿,huágānr,
6826611,682661,1,same as滚热,gǔnrè,
6826811,682681,1,(～儿,gǔnzhūr,
6827711,682771,1,同same as‘绲边’,gǔnbiān,
6829111,682911,1,(～儿,mǎnfēnr,
6830611,683061,1,～儿,mǎn∥zuòr,
6830711,683071,1,(～的,mǎndāngdāng·de,
6831312,683131,2,见see【望月】,wàngyuè,
6831611,683161,1,(～的,mǎnmǎndāngdāng·de,
6831711,683171,1,(～的,mǎnmǎndēngdēng·de,
6831911,683191,1,(～的,mǎndēngdēng·de,
6832011,683201,1,same as满眼,mǎnyǎn,
6834211,683421,1,(～儿,làndiàor,
6834711,683471,1,见see‘滟滪堆’(Yànyù Duī)。,,
6835611,683561,1,见see【水滴石穿】,shuǐ dī shí chuān,
6835811,683581,1,(～的,dīliūliū·de,
6836212,683621,2,同same as‘嘀里嘟噜’,dī·lidūlū,
6836812,683681,2,same as漂泊,piāobó,
