hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12910,上文,10522,13496,shàng wén,1,
12911,不凡,10523,13497,bù fán,1,
12912,清真寺,10525,13498,qīng zhēn sì,1,
12913,行文,10526,13499,xíng wén,1,
12914,代办,10527,13500,dài bàn,1,
12915,热切,10528,13501,rè qiè,1,
12916,惊恐,10529,13502,jīng kǒng,1,
12917,叫喊,10530,13503,jiào hǎn,1,
12918,限定,10531,13504,xiàn dìng,1,
12919,辩证法,10532,13505,biàn zhèng fǎ,1,
12920,满腔,10533,13506,mǎn qiāng,1,
12921,忙于,10535,13507,máng yú,1,
12922,概率,10536,13508,gài lǜ,1,
12923,盒子,10537,13509,hé zi,1,
12924,诗意,10538,13510,shī yì,1,
12925,把门,10539,13511,bǎ mén,1,
12926,状元,10540,13512,zhuàng yuan,1,
12927,中叶,10541,13513,zhōng yè,1,
12928,售后服务,10542,13514,shòu hòu fú wù,1,
12929,苏维埃,10543,13515,sū wéi āi,1,
12930,求人,10545,13516,qiú rén,1,
12931,求生,10546,13517,qiú shēng,1,
12932,学士,10547,13518,xué shì,1,
12933,关爱,10549,13519,guān ài,1,
12934,忍耐,10550,13520,rěn nài,1,
12935,参战,10551,13521,cān zhàn,1,
12936,喊叫,10552,13522,hǎn jiào,1,
12937,掠夺,10553,13523,lüè duó,1,
12938,代为,10554,13524,dài wéi,1,
12939,段落,10555,13525,duàn luò,1,
12940,天亮,10556,13526,tiān liàng,1,
12941,骗取,10557,13527,piàn qǔ,1,
12942,下边,10558,13528,xià bian,1,
12943,航海,10559,13529,háng hǎi,1,
12944,创利,10560,13530,chuàng lì,1,
12945,践踏,10562,13531,jiàn tà,1,
12946,形式主义,10563,13532,xíng shì zhǔ yì,1,
12947,同感,10564,13533,tóng gǎn,1,
12948,调剂,10566,13534,tiáo jì,1,
12949,想象力,10567,13535,xiǎng xiàng lì,1,
12950,高强,10568,13536,gāo qiáng,1,
12951,版面,10569,13537,bǎn miàn,1,
12952,荒凉,10570,13538,huāng liáng,1,
12953,难堪,10571,13539,nán kān,1,
12954,工时,10572,13540,gōng shí,1,
12955,书局,10575,13541,shū jú,1,
12956,野兽,10576,13542,yě shòu,1,
12957,口吻,10577,13543,kǒu wěn,1,
12958,顺手,10578,13544,shùn shǒu,1,
12959,名副其实,10580,13545,míng fù qí shí,1,
12960,标价,10581,13546,biāo jià,1,
12961,单身,10582,13547,dān shēn,1,
12962,特级,10583,13548,tè jí,1,
12963,请示,10584,13549,qǐng shì,1,
12964,规模经营,10585,13550,guī mó jīng yíng,1,
12965,打扫,10586,13551,dǎ sǎo,1,
12966,痴迷,10588,13552,chī mí,1,
12967,结盟,10589,13553,jié méng,1,
12968,判定,10590,13554,pàn dìng,1,
12969,雪白,10591,13555,xuě bái,1,
12970,自传,10592,13556,zì zhuàn,1,
12971,精密,10593,13557,jīng mì,1,
12972,户外,10594,13558,hù wài,1,
12973,过日子,10595,13559,guò rì zi,1,
