pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
99701,摇摆,yáo bǎi,6,6435,1
200153,博大精深,bó dà jīng shēn,6,6436,1
83611,颠簸,diān bǒ,6,6441,1
99241,雪上加霜,xuě shàng jiā shuāng,6,6444,1
99081,须知,xū zhī,6,6447,1
206217,菠菜,bō cài,,6448,1
101581,遮挡,zhē dǎng,6,6449,1
90781,吝啬,lìn sè,6,6450,1
80451,弊病,bì bìng,6,6455,1
92991,旗袍,qí páo,6,6456,1
87321,荒凉,huāng liáng,6,6457,1
92671,贫乏,pín fá,6,6458,1
98291,陷害,xiàn hài,6,6459,1
98601,谢绝,xiè jué,6,6460,1
93291,牵扯,qiān chě,6,6461,1
82591,传单,chuán dān,6,6465,1
84091,断断续续,duàn duàn xù xù,6,6466,1
95191,时差,shí chā,6,6474,1
89471,聚精会神,jù jīng huì shén,6,6475,1
89331,鞠躬,jū gōng,6,6479,1
97781,无理取闹,wú lǐ qǔ nào,6,6480,1
90051,枯竭,kū jié,6,6483,1
96511,体面,tǐ miàn,6,6484,1
99051,虚荣,xū róng,6,6486,1
102381,终年,zhōng nián,6,6487,1
80821,冰雹,bīng báo,6,6488,1
99031,嗅觉,xiù jué,6,6491,1
99361,压榨,yā zhà,6,6492,1
88811,解雇,jiě gù,6,6495,1
87581,火药,huǒ yào,6,6496,1
103251,总而言之,zǒng ér yán zhī,6,6497,1
200193,记性,jì xìng,6,6500,1
87961,记性,jì xing,6,6500,2
84791,肥沃,féi wò,6,6501,1
96711,停泊,tíng bó,6,6503,1
100671,与日俱增,yǔ rì jù zēng,6,6504,1
97771,无赖,wú lài,6,6507,1
79881,包庇,bāo bì,6,6511,1
101141,暂且,zàn qiě,6,6512,1
84301,耳环,ěr huán,6,6513,1
96681,挑拨,tiǎo bō,6,6514,1
200167,哆嗦,duō suo,6,6516,1
102331,志气,zhì qì,6,6517,1
85721,隔阂,gé hé,6,6518,1
200237,无穷无尽,wú qióng wú jìn,6,6519,1
200228,滔滔不绝,tāo tāo bù jué,6,6520,1
99621,眼色,yǎn sè,6,6521,1
96341,叹气,tàn qì,6,6525,1
83421,得不偿失,dé bù cháng shī,6,6530,1
100911,岳父,yuè fù,6,6531,1
98411,向导,xiàng dǎo,6,6532,1
83151,怠慢,dài màn,6,6536,1
95971,斯文,sī wén,6,6537,1
95972,斯文,sī wen,6,6537,2
98811,兴隆,xīng lóng,6,6538,1
97681,诬陷,wū xiàn,6,6539,1
201881,谷子,gǔ zi,,6540,1
91971,耐用,nài yòng,6,6544,1
103141,滋长,zī zhǎng,6,6545,1
80621,变故,biàn gù,6,6546,1
82821,凑合,còu he,6,6547,1
200238,无忧无虑,wú yōu wú lǜ,6,6551,1
82681,吹牛,chuī niú,6,6552,1
200248,酗酒,xù jiǔ,6,6555,1
102571,周折,zhōu zhé,6,6556,1
93891,圈套,quān tào,6,6560,1
91651,蔑视,miè shì,6,6565,1
93271,恰巧,qià qiǎo,6,6566,1
87431,悔恨,huǐ hèn,6,6567,1
86851,和气,hé qi,6,6570,1
101151,糟蹋,zāo tà,6,6571,1
201771,囊揣,nāng chuài,,6572,1
200154,不屑一顾,bù xiè yī gù,6,6575,1
83911,动身,dòng shēn,6,6577,1
88011,忌讳,jì huì,6,6582,1
89591,开明,kāi míng,6,6583,1
79461,爱不释手,ài bù shì shǒu,6,6584,1
81471,嘈杂,cáo zá,6,6585,1
200233,统筹兼顾,tǒng chóu jiān gù,6,6586,1
94281,任重道远,rèn zhòng dào yuǎn,6,6589,1
96751,挺拔,tǐng bá,6,6590,1
200196,津津有味,jīn jīn yǒu wèi,6,6594,1
90941,留神,liú shén,6,6595,1
88131,佳肴,jiā yáo,6,6598,1
80691,辫子,biàn zi,6,6599,1
86921,合算,hé suàn,6,6600,1
94811,神气,shén qì,6,6601,1
80561,贬低,biǎn dī,6,6605,1
88071,家常,jiā cháng,6,6606,1
202471,嘎嘎,gā gā,,6607,1
202472,嘎嘎,gá ga,,6607,2
97181,外行,wài háng,6,6608,1
100781,寓言,yù yán,6,6611,1
85371,附和,fù hè,6,6612,1
97101,椭圆,tuǒ yuán,6,6617,1
98521,肖像,xiào xiàng,6,6618,1
79511,安详,ān xiáng,6,6619,1
200164,端午节,duān wǔ jié,6,6620,1
83171,胆怯,dǎn qiè,6,6621,1
96111,算数,suàn shù,6,6624,1
80261,贝壳,bèi ké,6,6627,1
201921,珊瑚,shān hú,,6632,1
103471,座右铭,zuò yòu míng,6,6635,1
96391,淘气,táo qì,6,6638,1
86311,拐杖,guǎi zhàng,6,6639,1
205001,填充,tián chōng,,6640,1
99111,序言,xù yán,6,6641,1
100821,元宵节,yuán xiāo jié,6,6645,1
82751,慈祥,cí xiáng,6,6647,1
80021,抱负,bào fù,6,6653,1
204421,绒毛,róng máo,,6654,1
92871,魄力,pò lì,6,6657,1
82691,吹捧,chuī pěng,6,6660,1
200239,物美价廉,wù měi jià lián,6,6661,1
87951,继往开来,jì wǎng kāi lái,6,6664,1
206027,憔悴,qiáo cuì,,6665,1
96081,素食,sù shí,6,6666,1
