pinyin_id,hanzi,pinyin
11081,妹,mèi
11091,幸,xìng
11101,壁,bì
11111,距,jù
11121,玩,wán
11131,休,xiū
11141,延,yán
11151,综,zōng
11152,综,zèng
11161,甲,jiǎ
11171,泛,fàn
11181,哲,zhé
11191,载,zài
11192,载,zǎi
11201,雷,léi
11211,窗,chuāng
11221,虚,xū
11231,秘,mì
11232,秘,bì
11241,俗,sú
11251,倾,qīng
11261,哭,kū
11271,禁,jīn
11272,禁,jìn
11281,零,líng
11291,触,chù
11301,巧,qiǎo
11311,圈,quān
11312,圈,juān
11313,圈,juàn
11321,努,nǔ
11331,喝,hè
11332,喝,hē
11341,彻,chè
11351,晶,jīng
11361,丁,zhēng
11362,丁,dīng
11371,操,cāo
11372,操,cào
11381,奴,nú
11391,宜,yí
11401,菌,jūn
11402,菌,jùn
11411,叔,shū
11421,桥,qiáo
11431,仿,fǎng
11441,默,mò
11451,航,háng
11461,谷,yù
11462,谷,gǔ
11471,泪,lèi
11481,予,yú
11482,予,yǔ
11491,挂,guà
11501,壮,zhuàng
11511,纷,fēn
11521,粒,lì
11531,燃,rán
11541,诸,zhū
11551,削,xuē
11552,削,xiāo
11561,苗,miáo
11571,婆,pó
11581,付,fù
11591,迷,mí
11601,馆,guǎn
11611,灰,huī
11621,鸡,jī
11631,岸,àn
11641,寒,hán
11651,泥,ní
11652,泥,nì
11661,梅,méi
11671,残,cán
11681,税,shuì
11691,虎,hù
11692,虎,hǔ
11701,庆,qìng
11711,抱,bào
11721,鸟,diǎo
11722,鸟,niǎo
11731,拍,pāi
11741,墙,qiáng
11751,缓,huǎn
11761,横,héng
11762,横,hèng
11771,尾,yǐ
11772,尾,wěi
11781,督,dū
11791,莫,mò
11801,械,xiè
11811,尖,jiān
11821,旅,lǚ
11831,倍,bèi
11841,措,cuò
11851,剥,bō
11852,剥,bāo
11861,遭,zāo
11871,懂,dǒng
11881,粗,cū
11891,奏,zòu
11901,润,rùn
11911,侧,zè
11912,侧,zhāi
11913,侧,cè
11921,辩,biàn
11931,茶,chá
11941,鬼,guǐ
11951,梦,mèng
11961,贯,guàn
11971,篇,piān
11981,妻,qì
11982,妻,qī
11991,宽,kuān
12001,腿,tuǐ
12011,刀,dāo
12021,桌,zhuō
12031,浓,nóng
12041,跃,yuè
12051,蹈,dǎo
12061,洗,xǐ
12062,洗,xiǎn
12071,卷,juàn
12072,卷,juǎn
12081,欲,yù
12091,袋,dài
12101,赏,shǎng
12111,悲,bēi
12121,劲,jìng
12122,劲,jìn
12131,鲁,lǔ
12141,赞,zàn
12151,氏,shì
12152,氏,zhī
12161,汇,huì
12171,迹,jì
12181,竞,jìng
12191,醒,xǐng
12201,裂,liè
12202,裂,liě
12211,闭,bì
12221,森,sēn
12231,腰,yāo
12241,磁,cí
12251,湿,shī
12261,聚,jù
12271,兄,xiōng
12281,徐,xú
12291,炼,liàn
12301,订,dìng
12311,川,chuān
