pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
49721,屐,jī,,9786,1
49431,缢,yì,,9787,1
49321,蓊,wěng,,9788,1
49581,瞑,míng,,9789,1
49391,馀,yú,,9790,1
49461,挈,qiè,,9791,1
49421,馔,zhuàn,,9792,1
49621,圹,kuàng,,9793,1
49501,珂,kē,,9794,1
49631,瞽,gǔ,,9795,1
49541,穑,sè,,9796,1
49471,嗪,qín,,9797,1
49261,滹,hū,,9798,1
49361,蔸,dōu,,9799,1
49311,髁,kē,,9800,1
49791,坨,tuó,,9801,1
49511,滂,pāng,,9802,1
49701,讦,jié,,9803,1
49281,瘙,sào,,9804,1
49331,莅,lì,,9805,1
49611,靥,yè,,9806,1
49551,鳏,guān,,9807,1
49781,刈,yì,,9808,1
49521,铷,rú,,9809,1
49731,钺,yuè,,9810,1
49751,蝮,fù,,9811,1
49711,繇,zhòu,,9812,3
49712,繇,yáo,,9812,1
49713,繇,yóu,,9812,2
49741,噻,sāi,,9813,1
49241,猞,shē,,9814,1
49561,镳,biāo,,9815,1
49491,嵴,jí,,9816,1
49251,邺,yè,,9817,1
49301,阚,kàn,,9818,1
49531,孓,jué,,9819,1
49691,姹,chà,,9820,1
49481,簖,duàn,,9821,1
50301,橛,jué,,9822,1
50081,仂,lè,,9823,1
49941,蠓,měng,,9824,1
49861,恹,yān,,9825,1
49991,聿,yù,,9826,1
50321,呋,fū,,9827,1
50311,獠,liáo,,9828,1
50031,觊,jì,,9829,1
50121,叁,sān,,9830,1
50071,瘢,bān,,9831,1
49971,脘,wǎn,,9832,1
50021,鹫,jiù,,9833,1
49921,篼,dōu,,9834,1
50261,藁,gǎo,,9835,1
50011,泔,gān,,9836,1
49951,噱,xué,,9837,2
49952,噱,jué,,9837,1
50271,蠹,dù,,9838,1
50201,蘩,fán,,9839,1
50381,珩,héng,,9840,1
49821,喹,kuí,,9841,1
49901,蚨,fú,,9842,1
50091,纡,yū,,9843,1
50061,轳,lú,,9844,1
50141,菡,hàn,,9845,1
50211,踟,chí,,9846,1
50161,袢,pàn,,9847,1
49811,甾,zāi,,9848,1
50341,踯,zhí,,9849,1
50241,苣,jù,,9850,1
50242,苣,qǔ,,9850,2
50051,箜,kōng,,9851,1
50251,跖,zhí,,9852,1
50331,侩,kuài,,9853,1
50391,糅,róu,,9854,1
49891,楹,yíng,,9855,1
49981,袂,mèi,,9856,1
50181,苻,fú,,9857,1
50171,飨,xiǎng,,9858,1
50101,胪,lú,,9859,1
50291,歆,xīn,,9860,1
